tanggal,komoditas,model,horizon_bulan,prediksi_ketersediaan,satuan,validation_sMAPE_pct
2026-01-01,Bawang Merah,Global LSTM,1,7771.335002177759,Ton,9.922073
2026-02-01,Bawang Merah,Global LSTM,2,7550.341394984412,Ton,9.922073
2026-03-01,Bawang Merah,Global LSTM,3,7297.566583373303,Ton,9.922073
2026-04-01,Bawang Merah,Global LSTM,4,7054.145848673289,Ton,9.922073
2026-05-01,Bawang Merah,Global LSTM,5,6822.430708343651,Ton,9.922073
2026-06-01,Bawang Merah,Global LSTM,6,6593.718053815425,Ton,9.922073
2026-07-01,Bawang Merah,Global LSTM,7,6385.841881422796,Ton,9.922073
2026-08-01,Bawang Merah,Global LSTM,8,6187.124072731905,Ton,9.922073
2026-09-01,Bawang Merah,Global LSTM,9,5987.150402388753,Ton,9.922073
2026-10-01,Bawang Merah,Global LSTM,10,5805.634643492112,Ton,9.922073
2026-11-01,Bawang Merah,Global LSTM,11,5620.650998700104,Ton,9.922073
2026-12-01,Bawang Merah,Global LSTM,12,5491.6497859181945,Ton,9.922073
2027-01-01,Bawang Merah,Global LSTM,13,5344.663247797896,Ton,9.922073
2027-02-01,Bawang Merah,Global LSTM,14,5209.4558550164975,Ton,9.922073
2027-03-01,Bawang Merah,Global LSTM,15,5082.379648617757,Ton,9.922073
2027-04-01,Bawang Merah,Global LSTM,16,4963.18692246629,Ton,9.922073
2027-05-01,Bawang Merah,Global LSTM,17,4851.454969846423,Ton,9.922073
2027-06-01,Bawang Merah,Global LSTM,18,4746.762352162635,Ton,9.922073
2027-07-01,Bawang Merah,Global LSTM,19,4648.73539667827,Ton,9.922073
2027-08-01,Bawang Merah,Global LSTM,20,4556.9370246493245,Ton,9.922073
2027-09-01,Bawang Merah,Global LSTM,21,4471.004553713752,Ton,9.922073
2027-10-01,Bawang Merah,Global LSTM,22,4390.629407969113,Ton,9.922073
2027-11-01,Bawang Merah,Global LSTM,23,4315.433264904881,Ton,9.922073
2027-12-01,Bawang Merah,Global LSTM,24,4244.949456306955,Ton,9.922073
2028-01-01,Bawang Merah,Global LSTM,25,4178.475443613888,Ton,9.922073
2028-02-01,Bawang Merah,Global LSTM,26,4116.203981088027,Ton,9.922073
2028-03-01,Bawang Merah,Global LSTM,27,4057.8649591380577,Ton,9.922073
2028-04-01,Bawang Merah,Global LSTM,28,4003.2165895226167,Ton,9.922073
2028-05-01,Bawang Merah,Global LSTM,29,3952.030187908525,Ton,9.922073
2028-06-01,Bawang Merah,Global LSTM,30,3904.0931328178,Ton,9.922073
2028-07-01,Bawang Merah,Global LSTM,31,3859.2025250269194,Ton,9.922073
2028-08-01,Bawang Merah,Global LSTM,32,3817.1702600474096,Ton,9.922073
2028-09-01,Bawang Merah,Global LSTM,33,3777.8177442918986,Ton,9.922073
2028-10-01,Bawang Merah,Global LSTM,34,3740.978219961055,Ton,9.922073
2028-11-01,Bawang Merah,Global LSTM,35,3706.4948628633642,Ton,9.922073
2028-12-01,Bawang Merah,Global LSTM,36,3674.2197256483414,Ton,9.922073
2026-01-01,Beras,Global LSTM,1,74006.91212321413,Ton,11.412076
2026-02-01,Beras,Global LSTM,2,72953.02541325949,Ton,11.412076
2026-03-01,Beras,Global LSTM,3,71943.44610240286,Ton,11.412076
2026-04-01,Beras,Global LSTM,4,70941.40055058472,Ton,11.412076
2026-05-01,Beras,Global LSTM,5,69926.42250908131,Ton,11.412076
2026-06-01,Beras,Global LSTM,6,68941.01794678511,Ton,11.412076
2026-07-01,Beras,Global LSTM,7,67995.70632650118,Ton,11.412076
2026-08-01,Beras,Global LSTM,8,67120.16676686237,Ton,11.412076
2026-09-01,Beras,Global LSTM,9,66300.6466826423,Ton,11.412076
2026-10-01,Beras,Global LSTM,10,65462.45343994931,Ton,11.412076
2026-11-01,Beras,Global LSTM,11,64732.33766963262,Ton,11.412076
2026-12-01,Beras,Global LSTM,12,64016.205223287754,Ton,11.412076
2027-01-01,Beras,Global LSTM,13,63339.326163519865,Ton,11.412076
2027-02-01,Beras,Global LSTM,14,62734.16793380152,Ton,11.412076
2027-03-01,Beras,Global LSTM,15,62165.886203583425,Ton,11.412076
2027-04-01,Beras,Global LSTM,16,61632.6378428868,Ton,11.412076
2027-05-01,Beras,Global LSTM,17,61132.87162014577,Ton,11.412076
2027-06-01,Beras,Global LSTM,18,60665.03074382472,Ton,11.412076
2027-07-01,Beras,Global LSTM,19,60227.36660343094,Ton,11.412076
2027-08-01,Beras,Global LSTM,20,59818.11390856243,Ton,11.412076
2027-09-01,Beras,Global LSTM,21,59435.45176911948,Ton,11.412076
2027-10-01,Beras,Global LSTM,22,59077.7177541408,Ton,11.412076
