tanggal,komoditas,nilai,satuan,tahun,bulan,split,nilai_norm_train_minmax,source_file,source_sheet,nama_asli,catatan
2019-01-01,Beras,31364.542,Ton,2019,1,train,0.27992249613127884,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-02-01,Beras,32326.061999999998,Ton,2019,2,train,0.30327410421730977,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-03-01,Beras,34392.725,Ton,2019,3,train,0.353465368488361,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-04-01,Beras,40567.12,Ton,2019,4,train,0.5034175818675415,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-05-01,Beras,43479.48,Ton,2019,5,train,0.5741475607815874,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-06-01,Beras,49455.997,Ton,2019,6,train,0.719294081606429,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-07-01,Beras,43003.050500000005,Ton,2019,7,train,0.5625769278622266,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-08-01,Beras,40557.8995,Ton,2019,8,train,0.5031936515256273,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-09-01,Beras,40705.94,Ton,2019,9,train,0.5067889836423385,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-10-01,Beras,38985.971,Ton,2019,10,train,0.46501757794290133,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-11-01,Beras,36480.218,Ton,2019,11,train,0.40416251302860273,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2019-12-01,Beras,35356.82,Ton,2019,12,train,0.3768795133815531,Ketersediaan bapok 12-19 .xlsx,2019,Beras,
2020-01-01,Beras,19838.523,Ton,2020,1,train,0.0,lap .bln 20 .xlsx,20,Beras,
2020-02-01,Beras,22575.87,Ton,2020,2,train,0.06647958892115892,lap .bln 20 .xlsx,20,Beras,
2020-03-01,Beras,22820.975000000002,Ton,2020,3,train,0.07243224294804002,lap .bln 20 .xlsx,20,Beras,
2020-04-01,Beras,27342.44,Ton,2020,4,train,0.18224116908031618,lap .bln 20 .xlsx,20,Beras,
2020-05-01,Beras,26644.358,Ton,2020,5,train,0.16528745280201446,lap .bln 20 .xlsx,20,Beras,
2020-06-01,Beras,55744.35800000001,Ton,2020,6,train,0.872014089069074,lap .bln 20 .xlsx,20,Beras,
2020-07-01,Beras,58653.259,Ton,2020,7,train,0.9426600622293446,lap .bln 20 .xlsx,20,Beras,
2020-08-01,Beras,23961.452,Ton,2020,8,train,0.1001300255580038,lap .bln 20 .xlsx,20,Beras,
2020-09-01,Beras,61014.274,Ton,2020,9,train,1.0,lap .bln 20 .xlsx,20,Beras,
2020-10-01,Beras,27267.11,Ton,2020,10,train,0.18041169425179399,lap .bln 20 .xlsx,20,Beras,
2020-11-01,Beras,25565.278,Ton,2020,11,train,0.13908076625001928,lap .bln 20 .xlsx,20,Beras,
2020-12-01,Beras,57415.329000000005,Ton,2020,12,train,0.9125955225443249,lap .bln 20 .xlsx,20,Beras,
2021-01-01,Beras,27342.587,Ton,2021,1,train,0.1822447391427056,lap .bln 21 .xlsx,21,Beras,
2021-02-01,Beras,25478.146,Ton,2021,2,train,0.1369646664125203,lap .bln 21 .xlsx,21,Beras,
2021-03-01,Beras,30482.017,Ton,2021,3,train,0.25848937157211777,lap .bln 21 .xlsx,21,Beras,
2021-04-01,Beras,30246.164,Ton,2021,4,train,0.25276141290052,lap .bln 21 .xlsx,21,Beras,
2021-05-01,Beras,34438.5,Ton,2021,5,train,0.3545770664875062,lap .bln 21 .xlsx,21,Beras,
2021-06-01,Beras,32868.219,Ton,2021,6,train,0.316441004318294,lap .bln 21 .xlsx,21,Beras,
2021-07-01,Beras,30875.674,Ton,2021,7,train,0.26804978007565666,lap .bln 21 .xlsx,21,Beras,
2021-08-01,Beras,30630.634,Ton,2021,8,train,0.26209870464779134,lap .bln 21 .xlsx,21,Beras,
2021-09-01,Beras,29420.685,Ton,2021,9,train,0.23271371540982946,lap .bln 21 .xlsx,21,Beras,
2021-10-01,Beras,25744.623,Ton,2021,10,train,0.143436363795769,lap .bln 21 .xlsx,21,Beras,
2021-11-01,Beras,23663.115,Ton,2021,11,train,0.09288457179566685,lap .bln 21 .xlsx,21,Beras,
2021-12-01,Beras,24518.49,Ton,2021,12,train,0.11365832768903233,lap .bln 21 .xlsx,21,Beras,
2022-01-01,Beras,28317.0,Ton,2022,1,train,0.20590946841503874,lap .bln 22.xlsx,22,Beras,
2022-02-01,Beras,28745.0,Ton,2022,2,train,0.21630393578006626,lap .bln 22.xlsx,22,Beras,
2022-03-01,Beras,28166.0,Ton,2022,3,train,0.2022422614708351,lap .bln 22.xlsx,22,Beras,
2022-04-01,Beras,33821.0,Ton,2022,4,train,0.3395803758381966,lap .bln 22.xlsx,22,Beras,
2022-05-01,Beras,35937.0,Ton,2022,5,train,0.3909698453344543,lap .bln 22.xlsx,22,Beras,
2022-06-01,Beras,39172.0,Ton,2022,6,train,0.4695355040397442,lap .bln 22.xlsx,22,Beras,
2022-07-01,Beras,35059.27,Ton,2022,7,train,0.36965317281037563,lap .bln 22.xlsx,22,Beras,
2022-08-01,Beras,29992.692,Ton,2022,8,train,0.24660555675110818,lap .bln 22.xlsx,22,Beras,
2022-09-01,Beras,24574.827,Ton,2022,9,train,0.11502653588516214,lap .bln 22.xlsx,22,Beras,
2022-10-01,Beras,24919.279,Ton,2022,10,train,0.12339194493380334,lap .bln 22.xlsx,22,Beras,
2022-11-01,Beras,23849.45,Ton,2022,11,train,0.09740992945095282,lap .bln 22.xlsx,22,Beras,
2022-12-01,Beras,24135.453,Ton,2022,12,train,0.10435583797852287,lap .bln 22.xlsx,22,Beras,
2023-01-01,Beras,28633.903000000002,Ton,2023,1,validation,0.2136058186285419,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-02-01,Beras,28942.907,Ton,2023,2,validation,0.22111033263242724,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-03-01,Beras,33727.515,Ton,2023,3,validation,0.3373099861615153,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-04-01,Beras,39382.543,Ton,2023,4,validation,0.4746487805407605,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-05-01,Beras,32001.42,Ton,2023,5,validation,0.2953898035763816,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-06-01,Beras,31983.130000000005,Ton,2023,6,validation,0.29494561009949777,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
2023-07-01,Beras,33458.93000000002,Ton,2023,7,validation,0.3307870935978805,rekap ketersediaan 2023.xlsx,Sheet1,Beras,
